exam,section,topic,concept
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,CODING_DECODING,CODING_DECODING
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,DATA_CASELET,DATA_CASELET
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,DATA_TABLES,DATA_TABLES
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,GAMES_AND_TOURNAMENTS,GAMES_AND_TOURNAMENTS
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,GRAPHS,GRAPHS
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,PUZZLES,PUZZLES
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,SEATING_ARRANGEMENT,SEATING_ARRANGEMENT
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,TEAM_FORMATION,TEAM_FORMATION
CAT,DATA_INTERPRETATION_AND_LOGICAL_REASONING,VENN_DIAGRAMS,VENN_DIAGRAMS
CAT,QUANTITATIVE_ABILITY,ALGEBRA,ALGEBRAIC_EQUATIONS
CAT,QUANTITATIVE_ABILITY,ALGEBRA,AP_GP
CAT,QUANTITATIVE_ABILITY,ALGEBRA,INEQUALITIES
CAT,QUANTITATIVE_ABILITY,ALGEBRA,SIMPLE_EQUATIONS
CAT,QUANTITATIVE_ABILITY,AVERAGES,AVERAGES
CAT,QUANTITATIVE_ABILITY,GEOMETRY,CIRCLE
CAT,QUANTITATIVE_ABILITY,GEOMETRY,COORDINATE_GEOMETRY
CAT,QUANTITATIVE_ABILITY,GEOMETRY,QUADRILATERALS
CAT,QUANTITATIVE_ABILITY,GEOMETRY,TRIANGLES
CAT,QUANTITATIVE_ABILITY,INTEREST,COMPOUND_INTEREST
CAT,QUANTITATIVE_ABILITY,INTEREST,MIX_PROBLEM__INTEREST
CAT,QUANTITATIVE_ABILITY,INTEREST,SIMPLE_INTEREST
CAT,QUANTITATIVE_ABILITY,LOGARITHM,LOGARITHM
CAT,QUANTITATIVE_ABILITY,MAXIMA_AND_MINIMA,MAXIMA_AND_MINIMA
CAT,QUANTITATIVE_ABILITY,MENSURATION,PERIMETER_AREA_OF_2D_SHAPES
CAT,QUANTITATIVE_ABILITY,MENSURATION,SURFACE_AREA_VOLUME_OF_3D_SHAPES
CAT,QUANTITATIVE_ABILITY,MIXTURES_AND_ALLEGATIONS,MILK_AND_WATER_PROBLEM
CAT,QUANTITATIVE_ABILITY,MIXTURES_AND_ALLEGATIONS,MIXTURES_AND_ALLEGATIONS
CAT,QUANTITATIVE_ABILITY,NUMBER_SYSTEM,DIVISIBILITY
CAT,QUANTITATIVE_ABILITY,NUMBER_SYSTEM,NUMBER_SYSTEM_BASICS
CAT,QUANTITATIVE_ABILITY,PERCENTAGE,PERCENTAGE_CHANGE
CAT,QUANTITATIVE_ABILITY,PERMUTATION_&_COMBINATION,PERMUTATION_AND_COMBINATION
CAT,QUANTITATIVE_ABILITY,PROFIT_AND_LOSS,DISCOUNT_PROBLEMS
CAT,QUANTITATIVE_ABILITY,PROFIT_AND_LOSS,PROFIT_LOSS_PERCENTAGE
CAT,QUANTITATIVE_ABILITY,RATIO_AND_PROPORTION,PROPORTION
CAT,QUANTITATIVE_ABILITY,RATIO_AND_PROPORTION,RATIO
CAT,QUANTITATIVE_ABILITY,TIME_AND_DISTANCE,AVERAGE_SPEED
CAT,QUANTITATIVE_ABILITY,TIME_AND_DISTANCE,"SPEED,_TIME_AND_DISTANCE"
CAT,QUANTITATIVE_ABILITY,TIME_AND_DISTANCE,TRAIN_PROBLEM
CAT,QUANTITATIVE_ABILITY,TIME_AND_WORK,EFFICIENCY_PROBLEM
CAT,QUANTITATIVE_ABILITY,TIME_AND_WORK,PIPE_AND_CISTERN
